soil_moisture,air_humidity,air_temp,crop_type,water
93,93,25,pomelo,24
37,62,32,pomelo,13
6,10,35,pomelo,18
73,37,20,pomelo,48
78,43,24,pomelo,43
83,8,32,pomelo,50
15,26,37,pomelo,24
10,31,28,pomelo,46
6,61,31,pomelo,26
45,15,23,pomelo,19
72,76,33,pomelo,43
59,58,23,pomelo,10
48,46,25,pomelo,26
17,74,20,pomelo,32
78,70,29,pomelo,13
50,56,20,pomelo,24
71,81,28,pomelo,13
98,37,22,pomelo,38
66,96,27,pomelo,50
47,85,31,pomelo,42
15,0,28,pomelo,40
42,71,32,pomelo,50
43,5,25,pomelo,33
18,97,30,pomelo,13
60,22,37,pomelo,29
62,97,27,pomelo,20
75,39,22,pomelo,36
45,82,29,pomelo,14
63,76,38,pomelo,19
58,41,32,pomelo,19
77,24,26,pomelo,33
94,17,27,pomelo,38
96,8,34,pomelo,44
28,34,34,pomelo,27
61,22,37,pomelo,43
95,91,38,pomelo,29
55,20,30,pomelo,16
37,37,37,pomelo,38
87,31,26,pomelo,49
69,21,33,pomelo,16
81,67,30,pomelo,24
64,73,28,pomelo,25
78,34,20,pomelo,19
87,74,39,pomelo,36
23,95,31,pomelo,30
16,76,27,pomelo,32
29,78,32,pomelo,22
26,30,39,pomelo,33
69,27,33,pomelo,44
26,47,31,pomelo,49
28,77,27,pomelo,11
60,45,33,pomelo,27
75,67,33,pomelo,22
1,69,22,pomelo,50
38,63,23,pomelo,39
23,18,22,pomelo,50
8,56,36,pomelo,49
78,4,26,pomelo,36
7,26,33,pomelo,43
41,82,25,pomelo,50
74,81,25,pomelo,39
72,90,28,pomelo,30
51,24,32,pomelo,28
2,81,33,pomelo,25
97,66,32,pomelo,37
31,24,36,pomelo,42
36,79,35,pomelo,10
5,90,35,pomelo,13
67,48,26,pomelo,41
92,72,23,pomelo,34
35,57,25,pomelo,28
7,49,21,pomelo,26
68,54,33,pomelo,30
18,34,30,pomelo,17
62,56,28,pomelo,17
7,82,22,pomelo,24
15,35,37,pomelo,10
84,79,22,pomelo,44
21,62,22,pomelo,20
37,63,27,pomelo,14
66,29,38,pomelo,45
23,63,35,pomelo,26
64,41,30,pomelo,34
53,72,32,pomelo,44
47,8,33,pomelo,26
17,97,22,pomelo,34
67,96,27,pomelo,28
24,80,29,pomelo,41
42,80,29,pomelo,40
59,70,34,pomelo,12
31,48,28,pomelo,50
38,96,24,pomelo,20
74,2,33,pomelo,33
18,89,37,pomelo,21
51,67,23,pomelo,45
35,30,21,pomelo,14
29,66,34,pomelo,47
18,55,23,pomelo,44
64,73,33,pomelo,45
8,40,26,pomelo,29
46,17,28,pomelo,31
60,23,37,pomelo,37
72,97,35,pomelo,44
58,86,39,pomelo,23
78,26,34,pomelo,33
21,97,27,pomelo,44
3,45,28,pomelo,33
4,7,33,pomelo,47
9,60,31,pomelo,23
48,15,35,pomelo,22
31,53,27,pomelo,38
3,97,22,pomelo,18
21,84,21,pomelo,50
1,73,21,pomelo,34
89,13,35,pomelo,22
62,88,37,pomelo,13
12,3,33,pomelo,24
79,97,30,pomelo,17
24,87,22,pomelo,39
28,76,23,pomelo,26
98,84,30,pomelo,47
60,33,24,pomelo,38
75,98,33,pomelo,44
37,65,22,pomelo,12
99,67,38,pomelo,45
14,37,35,pomelo,47
76,66,36,pomelo,11
62,94,29,pomelo,15
34,79,30,pomelo,21
15,73,28,pomelo,10
82,13,30,pomelo,29
38,69,29,pomelo,10
24,10,25,pomelo,42
8,58,28,pomelo,23
70,74,35,pomelo,50
1,69,22,pomelo,48
78,80,27,pomelo,42
56,23,31,pomelo,37
27,42,22,pomelo,22
6,14,26,pomelo,35
8,89,31,pomelo,19
73,4,27,pomelo,34
69,35,38,pomelo,29
66,40,28,pomelo,49
61,59,36,pomelo,34
42,18,25,pomelo,16
7,53,30,pomelo,33
43,23,25,pomelo,42
65,50,25,pomelo,41
61,25,29,pomelo,36
72,51,29,pomelo,15
77,19,27,pomelo,38
85,72,32,pomelo,27
42,42,35,pomelo,50
55,77,33,pomelo,24
41,53,24,pomelo,10
36,14,20,pomelo,49
5,90,30,pomelo,14
90,52,30,pomelo,28
92,4,21,pomelo,31
17,77,23,pomelo,50
71,54,29,pomelo,39
17,77,29,pomelo,15
19,0,25,pomelo,34
72,97,23,pomelo,49
78,7,28,pomelo,42
12,1,29,pomelo,33
11,20,24,pomelo,15
89,40,25,pomelo,32
26,36,37,pomelo,11
33,76,27,pomelo,44
48,89,38,pomelo,50
81,56,38,pomelo,50
82,62,22,pomelo,48
28,34,24,pomelo,14
96,26,29,pomelo,46
85,51,35,pomelo,41
69,39,36,pomelo,44
60,49,30,pomelo,32
14,85,32,pomelo,14
44,64,37,pomelo,37
95,90,30,pomelo,41
32,30,39,pomelo,11
11,12,39,pomelo,42
61,21,22,pomelo,28
88,8,34,pomelo,10
29,5,32,pomelo,20
25,38,20,pomelo,46
69,65,38,pomelo,47
22,63,35,pomelo,48
22,39,25,pomelo,16
22,65,24,pomelo,39
5,80,22,pomelo,42
99,71,22,pomelo,37
62,54,36,pomelo,37
39,32,39,pomelo,20
42,19,38,pomelo,20
47,53,26,pomelo,18
91,92,24,pomelo,31
23,84,30,pomelo,23
81,13,31,pomelo,35
34,41,29,pomelo,18
17,83,34,pomelo,19
18,65,34,pomelo,12
67,42,34,pomelo,23
98,90,34,pomelo,31
16,91,22,pomelo,36
23,78,34,pomelo,17
84,92,26,pomelo,35
11,28,39,pomelo,18
33,34,24,pomelo,14
3,89,36,pomelo,36
83,56,28,pomelo,12
72,76,35,pomelo,34
80,14,30,pomelo,27
87,48,36,pomelo,37
98,75,39,pomelo,22
58,89,37,pomelo,34
24,52,37,pomelo,41
97,70,38,pomelo,29
66,6,36,pomelo,42
