epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.601,1.0609,2.24853,1.46293,0.38794,0.46638,0.39423,0.2398,1.39182,2.2555,1.46435,0.000208142,0.000208142,0.000208142
2,683.462,1.04109,1.63339,1.41935,0.54189,0.55999,0.52537,0.37386,1.31058,1.90039,1.39324,0.000375244,0.000375244,0.000375244
3,1008.49,1.00545,1.48185,1.39726,0.60502,0.63267,0.6277,0.42969,1.25414,1.57023,1.30583,0.000501097,0.000501097,0.000501097
4,1335.46,0.96081,1.35444,1.36835,0.60266,0.65929,0.63746,0.4235,1.26924,1.42108,1.28471,0.000439375,0.000439375,0.000439375
5,1660.17,0.90636,1.20008,1.32274,0.68152,0.67435,0.67502,0.49761,1.08437,1.20753,1.16185,0.0003775,0.0003775,0.0003775
6,1984.65,0.86377,1.07825,1.2879,0.66038,0.71656,0.70961,0.51925,1.03528,1.12847,1.14051,0.000315625,0.000315625,0.000315625
7,2310.04,0.82214,0.97208,1.25975,0.73017,0.71369,0.73997,0.5664,0.93457,0.99424,1.05667,0.00025375,0.00025375,0.00025375
8,2634.65,0.78547,0.88808,1.23216,0.74171,0.76109,0.75691,0.584,0.91761,0.94126,1.0314,0.000191875,0.000191875,0.000191875
9,2962.08,0.76042,0.79944,1.21086,0.72909,0.76294,0.76398,0.59483,0.89886,0.90277,1.02406,0.00013,0.00013,0.00013
10,3287.2,0.7201,0.71796,1.18834,0.76563,0.75582,0.78658,0.61377,0.87195,0.84713,1.00368,6.8125e-05,6.8125e-05,6.8125e-05
